epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.451,2.08102,3.35016,0.88866,0.01408,0.06218,0.03746,0.01081,1.95118,3.82037,0.82496,0.000225,0.000225,0.000225
2,163.782,1.89231,1.49116,0.83071,0.03731,0.21402,0.16749,0.06827,2.07046,3.0547,0.83785,0.000453342,0.000453342,0.000453342
3,228.518,1.7273,1.25732,0.82064,0.42272,0.23706,0.22074,0.10265,1.77789,2.22163,0.82446,0.00067228,0.00067228,0.00067228
4,282.755,1.72874,1.19566,0.81196,0.69966,0.21706,0.22326,0.11559,1.5513,2.04854,0.81146,0.000881812,0.000881812,0.000881812
5,343.85,1.70856,1.14886,0.82579,0.79261,0.19585,0.23447,0.1204,1.64806,1.79415,0.8174,0.00108194,0.00108194,0.00108194
6,415.308,1.67601,1.12095,0.81282,0.76429,0.23301,0.25136,0.13848,1.53677,1.39991,0.80819,0.00112625,0.00112625,0.00112625
7,490.671,1.62933,1.06825,0.81161,0.80735,0.24134,0.27611,0.15588,1.42993,1.21914,0.80249,0.0011015,0.0011015,0.0011015
8,560.47,1.60391,1.03645,0.80614,0.86658,0.27014,0.29585,0.17219,1.40513,1.05373,0.80344,0.00107675,0.00107675,0.00107675
9,637.398,1.57472,1.00163,0.80128,0.8982,0.26474,0.29775,0.16551,1.49858,1.00391,0.81342,0.001052,0.001052,0.001052
10,709.707,1.6013,0.98895,0.80367,0.92343,0.27123,0.33427,0.20138,1.34599,1.08053,0.79763,0.00102725,0.00102725,0.00102725
11,783.64,1.55997,0.97176,0.7984,0.71254,0.31587,0.35512,0.20809,1.39405,0.92486,0.80023,0.0010025,0.0010025,0.0010025
12,857.493,1.59837,0.98224,0.8107,0.64119,0.36645,0.39259,0.21128,1.45677,0.9839,0.80469,0.00097775,0.00097775,0.00097775
13,928.86,1.50336,0.93568,0.80626,0.64317,0.37298,0.39128,0.22617,1.37058,0.86497,0.80584,0.000953,0.000953,0.000953
14,1005.7,1.53303,0.93073,0.80024,0.77743,0.39639,0.46696,0.26713,1.33852,0.89182,0.79567,0.00092825,0.00092825,0.00092825
15,1076.13,1.44647,0.89014,0.80048,0.81954,0.44679,0.49544,0.29193,1.32142,0.8278,0.79848,0.0009035,0.0009035,0.0009035
16,1141.59,1.46264,0.87037,0.8016,0.87278,0.4511,0.51166,0.30245,1.31478,0.82753,0.79493,0.00087875,0.00087875,0.00087875
17,1215.42,1.46899,0.85086,0.79725,0.78432,0.47434,0.52508,0.30822,1.30128,0.80717,0.79566,0.000854,0.000854,0.000854
18,1290.53,1.45997,0.82105,0.79785,0.78048,0.53671,0.54326,0.32367,1.26895,0.76741,0.79489,0.00082925,0.00082925,0.00082925
19,1365.38,1.44017,0.81304,0.79452,0.76881,0.51736,0.55515,0.33058,1.28592,0.76951,0.79353,0.0008045,0.0008045,0.0008045
20,1434.32,1.44889,0.81771,0.79184,0.90542,0.44342,0.53439,0.31428,1.27398,0.79721,0.79215,0.00077975,0.00077975,0.00077975
21,1509.97,1.41256,0.79513,0.7937,0.82541,0.56182,0.58449,0.35763,1.24127,0.75375,0.79082,0.000755,0.000755,0.000755
22,1584.28,1.3896,0.77822,0.79435,0.85442,0.53869,0.58845,0.35477,1.23434,0.71654,0.78963,0.00073025,0.00073025,0.00073025
23,1658.31,1.43858,0.78014,0.78899,0.80697,0.54468,0.57961,0.34182,1.32001,0.75964,0.78924,0.0007055,0.0007055,0.0007055
24,1732.61,1.41275,0.77057,0.79204,0.89522,0.52287,0.60244,0.36602,1.23455,0.7121,0.78947,0.00068075,0.00068075,0.00068075
25,1804.32,1.38272,0.74044,0.78803,0.881,0.54307,0.60445,0.36284,1.25119,0.71048,0.79248,0.000656,0.000656,0.000656
26,1877.24,1.38299,0.73222,0.79555,0.84673,0.4675,0.56277,0.30663,1.35531,0.74585,0.80183,0.00063125,0.00063125,0.00063125
27,1955.12,1.38645,0.72668,0.78809,0.84642,0.52939,0.60427,0.36224,1.19625,0.68198,0.78729,0.0006065,0.0006065,0.0006065
28,2031.09,1.35604,0.71065,0.7892,0.86931,0.54988,0.62044,0.36181,1.28208,0.68477,0.78849,0.00058175,0.00058175,0.00058175
29,2107,1.4073,0.72118,0.78544,0.82739,0.57849,0.61848,0.36224,1.20339,0.69089,0.78916,0.000557,0.000557,0.000557
30,2180.63,1.28685,0.68356,0.78921,0.82713,0.55656,0.60191,0.36427,1.19252,0.6705,0.78822,0.00053225,0.00053225,0.00053225
31,2251.32,1.34313,0.69259,0.7851,0.81297,0.57507,0.6066,0.36407,1.26484,0.68743,0.79166,0.0005075,0.0005075,0.0005075
32,2325.38,1.35565,0.69315,0.78635,0.87342,0.55895,0.62526,0.38473,1.16341,0.63869,0.7854,0.00048275,0.00048275,0.00048275
