epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1748,1.41995,2.85004,0.87823,0.00572,0.05805,0.03302,0.01181,1.2678,3.91228,0.8442,0.000405702,0.000405702,0.000405702
2,24.6418,1.42232,1.47592,0.87174,0.02921,0.3032,0.19012,0.10565,1.25009,3.0635,0.85214,0.000806086,0.000806086,0.000806086
3,30.1493,1.3769,1.3063,0.8673,0.95367,0.22995,0.24862,0.14768,1.34429,1.6603,0.86914,0.00118997,0.00118997,0.00118997
4,35.7299,1.28549,1.21251,0.85387,0.72778,0.25537,0.25762,0.1667,1.15517,1.13625,0.84255,0.00117575,0.00117575,0.00117575
5,41.8853,1.2833,1.14842,0.84615,0.83039,0.26686,0.28108,0.18596,1.07199,1.10221,0.8379,0.001151,0.001151,0.001151
6,48.1128,1.19001,1.06082,0.83722,0.91972,0.28315,0.30393,0.2053,1.05334,0.99341,0.82963,0.00112625,0.00112625,0.00112625
26,1895.6,0.93409,0.61912,0.81378,0.85273,0.65971,0.74478,0.48933,0.83913,0.59079,0.81245,0.00063125,0.00063125,0.00063125
7,54.0956,1.16941,1.047,0.83489,0.86259,0.28657,0.31592,0.2124,0.96706,0.94319,0.82623,0.0011015,0.0011015,0.0011015
8,60.1816,1.06894,0.96182,0.82763,0.88293,0.2875,0.31705,0.21657,0.91128,0.90987,0.8226,0.00107675,0.00107675,0.00107675
9,65.9034,1.11447,0.97196,0.82307,0.86552,0.29998,0.32525,0.22588,0.94405,0.88428,0.81757,0.001052,0.001052,0.001052
10,71.7517,1.10776,0.95185,0.82648,0.87301,0.301,0.34316,0.23573,0.96026,0.87414,0.82139,0.00102725,0.00102725,0.00102725
11,77.9273,1.09955,0.92374,0.82313,0.86706,0.31201,0.38638,0.26349,0.94409,0.86126,0.82365,0.0010025,0.0010025,0.0010025
12,83.991,1.03819,0.88947,0.81977,0.605,0.4011,0.38701,0.26828,0.89797,0.82021,0.8176,0.00097775,0.00097775,0.00097775
13,89.975,1.01276,0.84996,0.81852,0.65845,0.40589,0.4158,0.28632,0.86834,0.80911,0.81481,0.000953,0.000953,0.000953
14,95.9803,1.03217,0.83062,0.82003,0.74776,0.45076,0.5026,0.32396,0.90895,0.79436,0.82033,0.00092825,0.00092825,0.00092825
15,101.965,1.04798,0.81222,0.81577,0.79999,0.44886,0.55912,0.37119,0.90018,0.7754,0.81858,0.0009035,0.0009035,0.0009035
16,108.326,1.0589,0.79468,0.81417,0.73869,0.52677,0.57684,0.40261,0.85548,0.72788,0.81376,0.00087875,0.00087875,0.00087875
17,114.685,0.99907,0.75439,0.81408,0.83398,0.52828,0.63123,0.43517,0.8479,0.70925,0.81561,0.000854,0.000854,0.000854
18,120.892,0.96883,0.73076,0.81503,0.68063,0.58254,0.6236,0.41057,0.83835,0.69881,0.81537,0.00082925,0.00082925,0.00082925
19,126.782,1.04054,0.7449,0.81857,0.69895,0.70263,0.68511,0.46849,0.86788,0.67106,0.81485,0.0008045,0.0008045,0.0008045
20,132.499,1.0189,0.70933,0.81165,0.71295,0.63281,0.65913,0.43472,0.89445,0.66261,0.81184,0.00077975,0.00077975,0.00077975
21,138.313,0.9612,0.67854,0.81441,0.73906,0.69725,0.69358,0.46829,0.83476,0.64731,0.81147,0.000755,0.000755,0.000755
22,144.66,0.97199,0.66574,0.81011,0.79092,0.70676,0.72815,0.50073,0.82545,0.61965,0.81417,0.00073025,0.00073025,0.00073025
27,1992.87,0.94501,0.6205,0.81094,0.86278,0.683,0.76537,0.5108,0.83509,0.57154,0.81317,0.0006065,0.0006065,0.0006065
23,150.384,0.94711,0.65146,0.80894,0.7846,0.67452,0.72775,0.49445,0.81702,0.61391,0.80946,0.0007055,0.0007055,0.0007055
24,156.171,0.97531,0.64794,0.80612,0.78864,0.64987,0.70339,0.47345,0.81668,0.6311,0.81085,0.00068075,0.00068075,0.00068075
25,161.887,0.95723,0.63948,0.81052,0.83191,0.72585,0.73695,0.49443,0.83336,0.62203,0.81231,0.000656,0.000656,0.000656
26,167.899,0.99662,0.64532,0.80958,0.82717,0.69304,0.73896,0.48243,0.88914,0.62266,0.81419,0.00063125,0.00063125,0.00063125
27,174.054,0.96296,0.62602,0.81222,0.82937,0.70349,0.75753,0.49995,0.84397,0.60039,0.81185,0.0006065,0.0006065,0.0006065
28,180.19,0.95809,0.61981,0.80619,0.75929,0.70401,0.75531,0.50447,0.81357,0.59367,0.81063,0.00058175,0.00058175,0.00058175
29,185.833,0.92264,0.59802,0.80735,0.82227,0.69787,0.76352,0.51594,0.81594,0.57399,0.81092,0.000557,0.000557,0.000557
30,191.675,0.91061,0.59743,0.8087,0.88333,0.68812,0.76669,0.5214,0.81164,0.57209,0.80855,0.00053225,0.00053225,0.00053225
31,197.883,0.92017,0.59382,0.80595,0.88257,0.68527,0.75916,0.51399,0.82263,0.56253,0.80827,0.0005075,0.0005075,0.0005075
32,204.063,0.90068,0.58211,0.80697,0.88211,0.72907,0.77662,0.52935,0.79341,0.54907,0.80852,0.00048275,0.00048275,0.00048275
33,210.271,0.92,0.58122,0.8061,0.80935,0.73402,0.76844,0.52013,0.80851,0.55154,0.80829,0.000458,0.000458,0.000458
34,216.223,0.90658,0.57352,0.80317,0.86524,0.70813,0.77183,0.52143,0.81836,0.56507,0.80834,0.00043325,0.00043325,0.00043325
35,221.943,0.90343,0.57224,0.80319,0.78256,0.71543,0.76907,0.51979,0.79661,0.55691,0.80726,0.0004085,0.0004085,0.0004085
36,227.664,0.92343,0.57498,0.80145,0.89153,0.67593,0.76843,0.52056,0.78821,0.53775,0.8064,0.00038375,0.00038375,0.00038375
37,233.507,0.90052,0.55808,0.80488,0.81947,0.73812,0.77979,0.52284,0.78046,0.53154,0.80743,0.000359,0.000359,0.000359
38,239.296,0.87739,0.55143,0.80261,0.796,0.73927,0.77702,0.52916,0.7817,0.53828,0.80625,0.00033425,0.00033425,0.00033425
28,2087.84,0.93059,0.61093,0.81215,0.87906,0.7057,0.76175,0.51081,0.8171,0.56527,0.81064,0.00058175,0.00058175,0.00058175
39,245.101,0.89999,0.55861,0.8021,0.88779,0.71377,0.78016,0.53814,0.79326,0.53868,0.80553,0.0003095,0.0003095,0.0003095
40,250.834,0.91651,0.55397,0.79764,0.82725,0.74512,0.78118,0.53666,0.79327,0.53953,0.80563,0.00028475,0.00028475,0.00028475
41,258.224,0.81694,0.55673,0.80502,0.82789,0.723,0.76556,0.52957,0.79784,0.5482,0.80712,0.00026,0.00026,0.00026
42,263.969,0.83466,0.55303,0.80478,0.84178,0.701,0.75216,0.51852,0.79983,0.54379,0.80685,0.00023525,0.00023525,0.00023525
43,269.886,0.83197,0.54171,0.80323,0.83451,0.75879,0.77926,0.53204,0.81016,0.53904,0.80574,0.0002105,0.0002105,0.0002105
44,276.143,0.8283,0.54301,0.79858,0.84111,0.74625,0.78475,0.54305,0.79311,0.53447,0.80507,0.00018575,0.00018575,0.00018575
45,281.806,0.82292,0.53683,0.80304,0.86542,0.74148,0.78795,0.53985,0.8132,0.53348,0.80586,0.000161,0.000161,0.000161
46,287.918,0.80811,0.521,0.80229,0.83175,0.7484,0.78526,0.54831,0.79501,0.52421,0.80386,0.00013625,0.00013625,0.00013625
47,294.241,0.80979,0.51852,0.80381,0.83893,0.74906,0.78153,0.54378,0.79432,0.53054,0.80584,0.0001115,0.0001115,0.0001115
48,300.447,0.78878,0.51218,0.8015,0.88649,0.74981,0.79439,0.54382,0.79795,0.5216,0.8047,8.675e-05,8.675e-05,8.675e-05
49,306.516,0.80686,0.5155,0.79879,0.89791,0.75399,0.79316,0.54898,0.79038,0.51944,0.80423,6.2e-05,6.2e-05,6.2e-05
50,312.678,0.80265,0.51358,0.79626,0.84704,0.75641,0.79136,0.53684,0.80025,0.52156,0.8045,3.725e-05,3.725e-05,3.725e-05
29,2179.57,0.90934,0.59777,0.81025,0.80312,0.69414,0.75521,0.50117,0.85825,0.58361,0.81309,0.000557,0.000557,0.000557
30,2246.62,0.94891,0.60968,0.81228,0.74974,0.71432,0.75194,0.50128,0.87933,0.5748,0.81352,0.00053225,0.00053225,0.00053225
31,2313.31,0.96829,0.61473,0.80867,0.79154,0.71869,0.75563,0.51866,0.83932,0.57408,0.81007,0.0005075,0.0005075,0.0005075
32,2380.49,0.92084,0.59107,0.80728,0.82739,0.69531,0.76005,0.52265,0.81723,0.55138,0.8093,0.00048275,0.00048275,0.00048275
33,2447.77,0.91971,0.5892,0.8083,0.85771,0.73974,0.77293,0.52824,0.80582,0.55008,0.80841,0.000458,0.000458,0.000458
34,2514.47,0.92806,0.58058,0.80675,0.83603,0.71614,0.77245,0.51904,0.83476,0.55868,0.81136,0.00043325,0.00043325,0.00043325
35,2581.54,0.93287,0.58387,0.80736,0.8352,0.74169,0.78161,0.53603,0.82055,0.54603,0.81065,0.0004085,0.0004085,0.0004085
36,2648.42,0.91087,0.5711,0.80751,0.83341,0.71395,0.7801,0.5397,0.81811,0.5408,0.80807,0.00038375,0.00038375,0.00038375
37,2715.08,0.94023,0.57383,0.80403,0.84463,0.74842,0.78597,0.54464,0.8073,0.53288,0.80928,0.000359,0.000359,0.000359
38,2781.16,0.89565,0.56339,0.80616,0.80657,0.72037,0.76867,0.53222,0.81757,0.53983,0.80807,0.00033425,0.00033425,0.00033425
39,2848.02,0.89938,0.55736,0.80725,0.81619,0.74192,0.78177,0.52848,0.80761,0.53696,0.80952,0.0003095,0.0003095,0.0003095
40,2914.83,0.92178,0.56117,0.80061,0.90898,0.72122,0.7902,0.55073,0.79497,0.52398,0.80691,0.00028475,0.00028475,0.00028475
41,2979.38,0.84699,0.56962,0.80944,0.80792,0.737,0.77824,0.53605,0.81255,0.53676,0.80859,0.00026,0.00026,0.00026
42,3052.47,0.81624,0.54299,0.80775,0.79539,0.75025,0.77753,0.53589,0.80528,0.53493,0.80819,0.00023525,0.00023525,0.00023525
43,3130.5,0.82699,0.54154,0.80396,0.82138,0.74042,0.78404,0.53901,0.80025,0.52701,0.80672,0.0002105,0.0002105,0.0002105
44,3200.83,0.81965,0.53799,0.81098,0.86674,0.70818,0.78129,0.52824,0.7987,0.52812,0.80729,0.00018575,0.00018575,0.00018575
45,3270.82,0.81972,0.53348,0.80585,0.87437,0.7403,0.79003,0.5419,0.7998,0.51225,0.80648,0.000161,0.000161,0.000161
46,3343.74,0.81766,0.52704,0.80514,0.86845,0.75154,0.79086,0.54621,0.79557,0.51181,0.8065,0.00013625,0.00013625,0.00013625
47,3419.19,0.82857,0.53599,0.80242,0.86091,0.75036,0.79903,0.54501,0.79223,0.51324,0.80566,0.0001115,0.0001115,0.0001115
48,3492.47,0.79651,0.51593,0.80414,0.8934,0.72275,0.79538,0.55428,0.79172,0.50588,0.80495,8.675e-05,8.675e-05,8.675e-05
