epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.8728,1.96293,2.67391,0.87977,0.96464,0.16531,0.20409,0.09727,1.8719,1.9881,0.85571,0.000411111,0.000411111,0.000411111
2,14.2011,1.87099,1.41313,0.83058,0.96424,0.21705,0.22695,0.11246,1.68307,1.24518,0.84529,0.000811388,0.000811388,0.000811388
3,20.7378,1.83157,1.24776,0.83641,0.94802,0.20324,0.21412,0.08906,1.89737,1.24429,0.84715,0.00119516,0.00119516,0.00119516
4,27.2292,1.85217,1.24531,0.83325,0.69802,0.23929,0.23519,0.11592,1.65863,1.15794,0.82705,0.00117575,0.00117575,0.00117575
5,33.8418,1.74525,1.19562,0.82296,0.96923,0.22513,0.24682,0.13064,1.50837,1.08361,0.82234,0.001151,0.001151,0.001151
6,40.3075,1.66625,1.12717,0.81666,0.95456,0.23593,0.26311,0.14164,1.47551,1.03889,0.81834,0.00112625,0.00112625,0.00112625
7,46.797,1.62604,1.0899,0.81631,0.77763,0.26544,0.27972,0.16952,1.39452,0.97923,0.81505,0.0011015,0.0011015,0.0011015
8,53.2685,1.53847,1.0428,0.80881,0.92528,0.25335,0.29053,0.17414,1.37553,0.95276,0.81394,0.00107675,0.00107675,0.00107675
9,59.8358,1.52202,1.02851,0.80731,0.94169,0.26024,0.30602,0.17733,1.35636,0.94563,0.81374,0.001052,0.001052,0.001052
10,66.519,1.54364,1.00196,0.80488,0.71094,0.31041,0.35368,0.20707,1.39442,0.94736,0.81268,0.00102725,0.00102725,0.00102725
11,73.3861,1.52149,0.96956,0.80582,0.58613,0.31647,0.36646,0.21521,1.37993,0.8811,0.81315,0.0010025,0.0010025,0.0010025
12,79.9279,1.60426,0.96482,0.80089,0.70514,0.39102,0.43505,0.2347,1.49836,0.90307,0.81674,0.00097775,0.00097775,0.00097775
13,86.6476,1.57739,0.93167,0.80663,0.6802,0.43066,0.4598,0.26849,1.37009,0.85208,0.81049,0.000953,0.000953,0.000953
14,93.1548,1.50133,0.89061,0.80171,0.71071,0.46159,0.48893,0.28155,1.33047,0.80528,0.81095,0.00092825,0.00092825,0.00092825
15,100.569,1.4768,0.87002,0.79755,0.73102,0.46688,0.50966,0.28481,1.35988,0.80627,0.81047,0.0009035,0.0009035,0.0009035
16,108.022,1.47087,0.84797,0.79738,0.72654,0.50972,0.53755,0.31495,1.29499,0.75351,0.80674,0.00087875,0.00087875,0.00087875
17,115.247,1.44675,0.82083,0.7934,0.87957,0.45672,0.55265,0.31672,1.35816,0.76925,0.80833,0.000854,0.000854,0.000854
18,122.069,1.43189,0.82916,0.80257,0.80589,0.43408,0.48914,0.29194,1.32653,0.77182,0.80604,0.00082925,0.00082925,0.00082925
19,129.004,1.41391,0.82479,0.79578,0.87427,0.50092,0.57448,0.34547,1.29621,0.72941,0.80622,0.0008045,0.0008045,0.0008045
20,136.059,1.41125,0.79657,0.79257,0.84018,0.5464,0.59184,0.35402,1.30153,0.73364,0.80476,0.00077975,0.00077975,0.00077975
21,143.087,1.36608,0.77764,0.79623,0.81873,0.52701,0.59103,0.35121,1.2517,0.70642,0.80087,0.000755,0.000755,0.000755
22,150.035,1.38351,0.76842,0.79246,0.81056,0.55985,0.6009,0.35017,1.261,0.7078,0.80486,0.00073025,0.00073025,0.00073025
23,156.959,1.35848,0.76374,0.79025,0.83492,0.55246,0.59384,0.35614,1.26493,0.69591,0.80172,0.0007055,0.0007055,0.0007055
24,163.919,1.42791,0.77397,0.78455,0.84768,0.54926,0.59702,0.34781,1.25454,0.68523,0.80173,0.00068075,0.00068075,0.00068075
25,170.808,1.3761,0.74706,0.79019,0.84425,0.57263,0.59822,0.36127,1.22353,0.66655,0.80412,0.000656,0.000656,0.000656
26,177.799,1.34454,0.73411,0.78789,0.84163,0.54383,0.60457,0.36284,1.21745,0.67404,0.80022,0.00063125,0.00063125,0.00063125
27,184.702,1.35451,0.72076,0.78737,0.80611,0.57068,0.60348,0.3513,1.22016,0.70027,0.80395,0.0006065,0.0006065,0.0006065
28,191.549,1.33887,0.71966,0.78776,0.86554,0.5289,0.62485,0.37156,1.20109,0.6447,0.80011,0.00058175,0.00058175,0.00058175
29,198.598,1.34509,0.70414,0.78424,0.85554,0.53744,0.61435,0.36659,1.20435,0.6478,0.7973,0.000557,0.000557,0.000557
30,205.808,1.31443,0.70056,0.78622,0.67166,0.63028,0.63227,0.37856,1.21044,0.65042,0.79821,0.00053225,0.00053225,0.00053225
31,212.829,1.3768,0.7022,0.78493,0.84522,0.57527,0.62204,0.37455,1.21599,0.65169,0.79718,0.0005075,0.0005075,0.0005075
32,219.732,1.31587,0.68331,0.78482,0.71398,0.63065,0.63398,0.3879,1.18823,0.61924,0.79855,0.00048275,0.00048275,0.00048275
33,226.464,1.29616,0.67619,0.78431,0.70988,0.63648,0.65573,0.39384,1.17431,0.61741,0.7962,0.000458,0.000458,0.000458
34,233.731,1.32094,0.67492,0.78212,0.75996,0.61358,0.65052,0.40277,1.16263,0.60718,0.79493,0.00043325,0.00043325,0.00043325
35,240.909,1.32446,0.66897,0.78242,0.72478,0.63493,0.65159,0.3959,1.18739,0.62225,0.79622,0.0004085,0.0004085,0.0004085
36,248.097,1.29209,0.66541,0.78259,0.78672,0.62424,0.65596,0.39713,1.18797,0.60961,0.79491,0.00038375,0.00038375,0.00038375
37,255.021,1.34642,0.66841,0.77884,0.71391,0.60809,0.6481,0.40005,1.1707,0.5985,0.79518,0.000359,0.000359,0.000359
38,261.746,1.28292,0.65444,0.78367,0.70901,0.61628,0.64432,0.39624,1.16876,0.60244,0.7952,0.00033425,0.00033425,0.00033425
39,268.764,1.28476,0.64721,0.77949,0.81007,0.59878,0.65418,0.399,1.18599,0.59965,0.79503,0.0003095,0.0003095,0.0003095
40,275.566,1.29177,0.64877,0.78181,0.7946,0.58762,0.65049,0.39896,1.16128,0.61253,0.7943,0.00028475,0.00028475,0.00028475
41,282.236,1.28319,0.64384,0.77809,0.7879,0.6049,0.65957,0.39874,1.16312,0.59405,0.79547,0.00026,0.00026,0.00026
42,288.906,1.26187,0.63547,0.78123,0.81799,0.63333,0.66174,0.41185,1.16938,0.59927,0.79631,0.00023525,0.00023525,0.00023525
43,295.891,1.268,0.6341,0.78136,0.82171,0.5951,0.65954,0.4116,1.15435,0.58917,0.79436,0.0002105,0.0002105,0.0002105
44,302.684,1.28632,0.63734,0.78057,0.81284,0.5859,0.64702,0.40526,1.15299,0.59135,0.79404,0.00018575,0.00018575,0.00018575
45,309.579,1.2328,0.6199,0.78206,0.83139,0.64576,0.67368,0.41792,1.14344,0.57941,0.79372,0.000161,0.000161,0.000161
46,320.731,1.15588,0.62461,0.78216,0.79023,0.6083,0.66316,0.40287,1.18288,0.59534,0.79373,0.00013625,0.00013625,0.00013625
47,327.306,1.15583,0.61418,0.78572,0.78142,0.59032,0.65986,0.39846,1.17688,0.59697,0.7939,0.0001115,0.0001115,0.0001115
48,334.131,1.13981,0.60011,0.78451,0.76674,0.62493,0.6608,0.4049,1.16677,0.58719,0.79396,8.675e-05,8.675e-05,8.675e-05
49,340.782,1.15972,0.6072,0.78378,0.78989,0.62272,0.67032,0.41014,1.17353,0.58434,0.79399,6.2e-05,6.2e-05,6.2e-05
50,347.407,1.13505,0.59561,0.78635,0.79905,0.62362,0.6703,0.40943,1.16517,0.58318,0.79449,3.725e-05,3.725e-05,3.725e-05
