epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6891,1.90584,3.01281,0.87266,0.02117,0.13618,0.04134,0.01847,1.86047,3.32348,0.83834,0.000411111,0.000411111,0.000411111
2,31.7283,1.93775,1.58572,0.8374,0.94354,0.20683,0.21614,0.1124,1.60657,1.32962,0.84014,0.000811388,0.000811388,0.000811388
3,39.6643,1.89229,1.36573,0.84068,0.93864,0.2166,0.21963,0.09983,1.80104,1.5209,0.83934,0.00119516,0.00119516,0.00119516
4,47.8495,1.79364,1.29359,0.82532,0.95775,0.21733,0.23458,0.11354,1.70102,1.28897,0.82918,0.00117575,0.00117575,0.00117575
5,55.8456,1.73696,1.22257,0.8193,0.95654,0.21978,0.24417,0.13651,1.50663,1.14287,0.82842,0.001151,0.001151,0.001151
6,63.7529,1.67654,1.16271,0.81906,0.4378,0.28374,0.25163,0.14139,1.47201,1.07469,0.82059,0.00112625,0.00112625,0.00112625
7,71.848,1.60281,1.10252,0.8115,0.84499,0.26381,0.28009,0.16048,1.46097,1.03541,0.82065,0.0011015,0.0011015,0.0011015
8,79.9672,1.52908,1.05871,0.80919,0.89464,0.26355,0.29237,0.16796,1.41764,0.99092,0.82094,0.00107675,0.00107675,0.00107675
9,88.0748,1.52384,1.03166,0.80829,0.9246,0.26543,0.30525,0.17919,1.36296,0.94894,0.81414,0.001052,0.001052,0.001052
10,96.3862,1.5298,1.01495,0.8034,0.916,0.27611,0.33987,0.19999,1.33096,0.92771,0.80787,0.00102725,0.00102725,0.00102725
11,104.551,1.48055,0.98117,0.80056,0.7293,0.32058,0.35678,0.20309,1.36271,0.92355,0.81104,0.0010025,0.0010025,0.0010025
12,112.646,1.52613,0.97377,0.79459,0.66464,0.32161,0.37735,0.21519,1.35875,0.89481,0.80993,0.00097775,0.00097775,0.00097775
